DIAS,TRÊS MARIAS,BSM,FORTALEZA,JATOBÁ,ACARÁ DO TAPAJÓS,BUBURÉ,BELA VISTA
1980-01-01,819.741935483871,664.483870967742,556.3578866796727,664.483870967742,653.6660998989473,665.4245402856919,802.4740387101458
1980-02-01,1068.448275862069,897.5862068965517,714.7432540913348,897.5862068965517,860.4726722366136,809.6697530474598,1083.2109524627099
1980-03-01,1225.56501872869,1030.1612903225807,803.8491791319332,1030.1612903225807,977.6609590711247,891.3517301691135,1242.4959725936358
1980-04-01,1025.9666666666667,845.2,678.3143685802509,845.2,813.6268414739792,776.9478060105182,1019.79272716364
1980-05-01,770.1290322580645,626.4193548387096,531.0541173616587,626.4193548387096,620.1433255047959,642.0746782500537,756.8503821141495
1980-06-01,611.9666666666667,476.43333333333334,429.0276227290334,476.43333333333334,487.02559020823185,549.2199807583652,576.1692168159301
1980-07-01,526.2903225806451,405.6774193548387,381.5847475651485,405.6774193548387,424.5318475540257,505.6673943564258,491.2025080650237
1980-08-01,471.5806451612903,355.51612903225805,347.57585374437497,355.51612903225805,380.06191703172425,474.65434598338214,430.8197504135565
1980-09-01,460.1666666666667,346.73333333333335,341.73532289641383,346.73333333333335,372.3261374428163,469.2659678102811,420.2919857630195
1980-10-01,494.64516129032256,380.51612903225805,364.7870095013059,380.51612903225805,402.34107278355293,490.20658854453376,461.01647383132575
1980-11-01,539.3333333333334,410.6666666666667,384.4946095002449,410.6666666666667,428.74575345423625,508.57919375353544,497.0231586431269
1980-12-01,666.7741935483871,538.516129032258,471.9218514885323,538.516129032258,542.4196456266608,587.8972003832226,651.2172700012786
1981-01-01,910.7096774193549,743.9677419354839,609.9812145404089,743.9677419354839,724.0139055331375,714.4694915390884,898.0502648699339
1981-02-01,992.4642857142857,825.5357142857143,665.7319820374552,825.5357142857143,796.5255481534219,765.0642153586458,996.4152239448392
1981-03-01,971.2903225806451,812.9032258064516,657.6273006717728,812.9032258064516,785.5299595596684,757.4221852564867,981.3888487990553
1981-04-01,1008.7333333333333,826.8,665.66299608325,826.8,797.2364810958028,765.507220013298,997.5742232158483
1981-05-01,795.8064516129032,633.5806451612904,534.7980995184076,633.5806451612904,626.0002385065828,646.095902620877,765.035481403783
1981-06-01,599.2333333333333,464.93333333333334,421.2425816842567,464.93333333333334,476.83564000508886,542.1142496071762,562.3304832730324
1981-07-01,506.7096774193548,383.80645161290323,366.4906237219493,383.80645161290323,405.0247426842169,492.04811041016586,464.77069290658653
1981-08-01,461.258064516129,345.38709677419354,340.66337420533927,345.38709677419354,371.06218119778225,468.3754168443487,418.60903694771184
1981-09-01,437.53333333333336,335.2,334.54119713477303,335.2,362.37816904330873,462.3639664818214,406.6535301298215
1981-10-01,457.7096774193548,349.6774193548387,344.08393556727964,349.6774193548387,375.09221736184156,471.2151114329319,423.9741393535118
1981-11-01,577.3666666666667,478.76666666666665,432.9200007218449,478.76666666666665,490.11673104621036,551.5074264823884,579.883339924794
